"","title","boxoffice","ntitle0","ntitle1","ntitle2","popularity0","popularity1","popularity2","rating","weightedrating"
"1","侏羅紀世界 ",27796,0.084638039519539,1.62597191533255,1.13074737804888,0.0911578915240405,1.25572234314101,0.946134649891899,0.422764227642276,0.127244340359094
"2","玩命關頭7",25719,0.831444270574295,2.19070890473894,2.14596948217946,0.753476947128398,1.67100628522656,1.08684167824102,0.521739130434783,0.308231173380035
"3","復仇者聯盟2：奧創紀元",20408,0.831444270574295,3.13193722041625,0.675647814128279,1.40155258218212,2.79347665042881,0.592651139648997,0.460526315789474,0.12037037037037
"4","我的少女時代",15895,2.69845984821118,2.21423961263087,5.40168174714992,4.17901958955523,3.16061172966386,6.11797591140698,0.752988047808765,0.55126687189202
"5","不可能的任務：失控國度",15016,-0.164297370832046,0.520028644411713,-0.269558972476049,-0.0512763139822728,0.386033507903874,-0.267034484776701,0.851851851851852,0.785046728971963
"6","金牌特務",13116,3.19633066891436,0.567090060195579,1.62085460073261,2.34161833852379,0.534994052347604,1.33736882627725,0.842592592592593,0.864521591871296
"7","蟻人",12781,0.084638039519539,1.13182704960196,0.430594202786416,0.0911578915240405,1.53408295649545,0.417625323897657,0.775,0.627947598253275
"8","小小兵",11394,0.333573449871124,-0.303546131805932,-0.444597266291666,0.0199407887708838,-0.223350537547751,-0.351115513912148,0.379310344827586,0.064327485380117
"9","高年級實習生 ",11188,-0.537700486359424,-0.491791794941394,0.0455099563920603,-0.61389142573221,-0.16918306684094,-0.162362183199919,0.666666666666667,0.0571428571428571
"10","星際大戰：原力覺醒",9453,2.57399214303539,1.29654200484549,0.815678449180773,3.01105910440346,1.62887603023237,1.02849973965724,0.675,0.436101083032491
"11","加州大地震",8120,-0.662168191535217,0.0494144865730588,-0.654643218870405,0.176618414827829,-0.115015596134129,-0.421469028086706,0.571428571428571,0.462857142857143
"12","移動迷宮：焦土試煉",7748,-0.413232781183632,0.49649793651978,-0.339574290002296,-0.222197360589849,0.17688688489702,-0.289341696588146,0.408450704225352,0.0184453227931489
"13","007：惡魔四伏",7349,0.333573449871124,0.872989262790704,-0.234551313712926,0.247835517580985,0.354435816658234,-0.279046060367479,0.346153846153846,0.0770491803278689
"14","絕地救援 ",7288,0.333573449871124,1.22594988116969,0.885693766707019,0.169496704552513,0.461266106107778,0.256327023107207,0.818181818181818,0.713274336283186
"15","腦筋急轉彎",7003,1.95165361715643,-0.162361884454336,0.2555559089708,1.01698022731508,0.0866077670523346,0.0521302380639774,0.953271028037383,0.911496350364963
"16","飢餓遊戲：自由幻夢終結戰",6488,-0.413232781183632,0.00235307078919331,-0.514612583817912,-0.656621687384104,-0.112006292205973,-0.435196543047596,0.526315789473684,0.456591639871383
"17","即刻救援3",6472,-0.78663589671101,-0.37413825548173,-0.549620242581036,-0.471457220225897,-0.48365532733326,-0.442060300528041,0.266666666666667,-0.0842105263157895
"18","葉問3",6431,2.57399214303539,-0.256484716022067,-0.514612583817912,0.881667732084079,-0.226359841475907,-0.394013998164928,0.75,0.716981132075472
"19","麻辣賤諜",6339,-0.164297370832046,-0.821221705428452,-0.514612583817912,0.169496704552513,-0.698820558196426,-0.273898242257145,0.777777777777778,0.434343434343434
"20","美國狙擊手",5657,-0.413232781183632,0.00235307078919331,0.15053293268143,-0.357509855820846,-0.437011116446839,0.0126636325514205,0.6,0.377906976744186
"21","大囍臨門 ",5571,-0.164297370832046,-0.774160289644586,-0.549620242581036,-0.642378266833473,-0.629606567848835,-0.467799391079708,0.642857142857143,0.516129032258065
"22","魔鬼終結者：創世契機",5172,0.955911975750087,1.0847656338181,0.46560186154954,1.25199666640049,0.349921860766,0.0349708443628657,0.640625,0.617486338797814
"23","格雷的五十道陰影",4928,0.084638039519539,0.590620768087511,-0.0945206786604328,-0.300536173618321,0.56207778770101,-0.224136000523921,0.333333333333333,-0.0500782472613459
"24","歌喉讚2 ",4912,-0.537700486359424,-0.37413825548173,-0.409589607528542,-0.435848668849319,-0.23237844933222,-0.268750424146812,0.604651162790698,0.344961240310078
"25","熊麻吉2",4875,-0.413232781183632,-0.491791794941394,0.0455099563920603,-0.578282874355632,-0.292564527895343,-0.213840364303254,0.555555555555556,0.0864197530864197
"26","模仿遊戲",4365,-0.413232781183632,-0.0917697607785376,-0.0945206786604328,-0.101128285909482,-0.0217271743612876,0.017811450661754,0.775862068965517,0.737951807228916
"27","分歧者2：叛亂者",4187,-0.78663589671101,-0.89181382910425,-0.444597266291666,-0.172345388662639,-0.65669030320224,-0.382002422574149,0.321428571428571,-0.308056872037915
"28","瘋狂麥斯：憤怒道",3889,0.58250886022271,2.12011678106314,0.815678449180773,0.83181576015687,2.90632554773467,0.970157801073455,0.672,0.574241617881852
"29","聖母峰 ",3790,-0.662168191535217,-0.0917697607785376,-0.234551313712926,-0.621013136007526,0.0053565609921179,-0.0542580028829153,0.68,0.732307692307692
"30","紳士密令",3489,-0.288765076007839,-0.138831176562403,0.115525273918307,-0.314779594168952,-0.0051760027564287,0.122483752238536,0.537037037037037,0.169836956521739
"31","追婚日記",3088,-0.662168191535217,-1.05652878434778,-0.549620242581036,-0.628134846282842,-0.882388097813953,-0.404309634385595,0.15,-0.479338842975207
"32","破風",2925,0.084638039519539,-0.703568165968788,0.010502297628937,-0.23644078114048,-0.652176347310006,-0.234431636744589,0.452380952380952,0.203703703703704
"33","明日世界",2872,-0.78663589671101,-0.37413825548173,-0.374581948765419,-0.642378266833473,-0.561897229465321,-0.345967695801815,0.264705882352941,-0.0382513661202186
"34","小王子 ",2812,-0.0398296656562537,-0.491791794941394,-0.304566631239173,-0.393118407197425,-0.486664631261416,-0.369990846983371,0.761904761904762,0.607305936073059
"35","紅衣小女孩",2612,-0.0398296656562537,-0.37413825548173,0.220548250207677,0.440121695014508,-0.345227346638076,-0.253306969815811,0.577777777777778,0.230769230769231
"36","獵巫行動：大滅絕",2372,-0.78663589671101,-0.89181382910425,-0.584627901344159,-0.692230238760683,-0.858313666388704,-0.363127089502927,0.470588235294118,-0.491525423728814
"37","成人世界",2304,-0.78663589671101,-0.185892592346268,-0.374581948765419,-0.621013136007526,-0.536318146075993,-0.431764664307373,0.482142857142857,0.126923076923077
"38","朱比特崛起",2234,-0.78663589671101,-0.680037458076856,-0.479604925054789,-0.564039453805001,-0.733427553370222,-0.440344361157929,0.470588235294118,0.172972972972973
"39","刺客聶隱娘",2222,-0.537700486359424,-0.209423300238201,-0.0245053611341863,-0.592526294906263,-0.370806430027404,-0.277330120997368,0.693548387096774,0.150224215246637
"40","角頭",2217,-0.413232781183632,-0.303546131805932,-0.619635560107282,-0.699351949035998,-0.236892405224454,-0.448924058008485,0.4,-0.0220994475138122
"41","玩命快遞：肆意橫行",2214,-0.911103601886802,-0.821221705428452,-0.689650877633529,-0.71359536958663,-0.858313666388704,-0.464367512339486,0.285714285714286,0.285714285714286
"42","間諜橋 ",2183,-0.78663589671101,-0.280015423913999,-0.269558972476049,-0.677986818210051,-0.44453437626723,-0.29448951469848,0.945945945945946,0.89041095890411
"43","仙履奇緣",2126,-0.662168191535217,-0.821221705428452,-0.759666195159775,-0.628134846282842,-0.680764734627489,-0.508981935962376,0.590909090909091,0.506976744186047
"44","天菜大廚",2119,-0.164297370832046,-0.962405952780048,-0.689650877633529,-0.635256556558157,-0.82972527907122,-0.495254421001487,0.714285714285714,-0.19672131147541
"45","翻轉幸福",2077,0.084638039519539,-1.10359020013164,-0.584627901344159,-0.514187481877791,-0.93204161262853,-0.445492179268263,0.416666666666667,0.51063829787234
"46","馬達加斯加爆走企鵝 ",2073,-0.537700486359424,-1.22124373959131,-0.724658536396652,-0.578282874355632,-0.954611392089701,-0.481526906040598,0.666666666666667,0.542857142857143
"47","白鯨傳奇：怒海之心",1954,-0.662168191535217,-0.750629581752654,-0.584627901344159,-0.66374339765942,-0.856809014424626,-0.457503754859041,0.857142857142857,0.431578947368421
"48","魔法黑森林",1943,-0.662168191535217,-0.515322502833327,-0.514612583817912,-0.628134846282842,-0.646157739453693,-0.431764664307373,0.40625,0.091324200913242
"49","尖叫旅社2   ",1926,-0.911103601886802,-1.15065161591551,-0.584627901344159,-0.71359536958663,-0.910976485131437,-0.467799391079708,0.833333333333333,0.804878048780488
"50","一夜狂奔",1891,-0.662168191535217,-0.962405952780048,-0.654643218870405,-0.71359536958663,-0.786090372112956,-0.450639997378596,0.818181818181818,0.825
